"participant","lexicality","block","environment","order","trial","spelling","button","response","accuracy","previous.accuracy","rt","previous.rt","microsec.error","unix.seconds","unix.microseconds","trial.day","trial.session","order.in.block","order.in.subblock","rt.raw","coltheart.N","OLD20","nletters","nsyl","morphology","flection","synclass","celex.frequency","celex.frequency.lemma","celex.inflectional.entropy","lemma.size","nlemmas","bnc.frequency","bnc.frequency.million","subtlex.frequency","subtlex.frequency.million","subtlex.cd","subtlex.cd.pct","summed.monogram","summed.bigram","summed.trigram","lett.odd","part3"
1,"N",10,"M",4879,20994,"scraved",2,"N",1,1,722,813,10,1257337028,421625,179,179,379,79,722,1,1.9,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,697802,45317,9120,19,"1"
1,"N",11,"GC3",5307,3036,"buhf",2,"N",1,1,583,652,143,1257349288,874875,607,107,307,7,583,3,1.85,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,434615,7947,749,2,"1"
1,"N",12,"GC3",5734,16450,"oze",2,"N",1,1,613,566,248,1257350237,765875,1034,534,234,34,613,4,1.65,3,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,501740,11517,371,15,"1"
1,"N",12,"GC3",5912,11318,"hannades",2,"N",1,1,619,889,156,1257350554,421875,1212,712,412,12,619,0,3,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,793762,66633,11121,8,"1"
1,"N",13,"GC3",6400,25760,"tesples",2,"N",1,0,588,540,163,1257416287,250375,200,200,400,100,588,1,2.2,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,788610,82010,11931,20,"1"
1,"N",13,"GC3",6342,14892,"moads",2,"N",1,1,541,524,10,1257416194,359375,142,142,342,42,541,8,1.5,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,588862,37646,2428,13,"1"
1,"N",14,"GC3",6983,21952,"pito",2,"N",1,1,569,637,155,1257432871,344375,783,283,483,83,569,3,1.7,4,NA,NA,NA,NA,0,0,NA,NA,NA,2,0.02,0,0,0,0,555790,20437,2008,16,"1"
1,"N",14,"GC3",6725,27636,"washace",2,"N",1,1,487,551,180,1257432443,109375,525,25,225,25,487,0,2.9,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,689790,29618,3113,23,"1"
1,"N",14,"GC3",6786,4850,"commise",2,"N",1,0,591,460,11,1257432537,813375,586,86,286,86,591,0,2.25,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,701351,39429,6787,3,"1"
1,"N",16,"M",7959,6366,"defraged",2,"N",1,1,585,520,11,1258647955,734000,259,259,459,59,585,1,2.35,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,748411,43308,10256,4,"1"
1,"N",16,"M",7737,17364,"persames",2,"N",1,1,700,607,10,1258647582,656000,37,37,237,37,700,0,2.85,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,826847,79724,14249,16,"1"
1,"N",16,"M",7823,26270,"trefeld",2,"N",1,1,570,537,183,1258647729,218000,123,123,323,23,570,0,2.95,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,728679,33542,2479,20,"1"
1,"N",17,"M",8209,17374,"sankier",2,"N",1,1,588,555,181,1259166965,421750,9,509,209,9,588,3,1.8,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,757459,46702,6520,19,"1"
1,"N",17,"M",8605,11748,"heccep",2,"N",1,1,496,510,11,1259167648,187750,405,905,105,5,496,0,2.8,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,638404,17182,980,8,"1"
1,"N",17,"M",8530,13974,"lifetan",2,"N",1,1,505,486,11,1259167517,562750,330,830,30,30,505,0,2.85,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,734019,33533,2715,12,"1"
1,"N",18,"M",8783,6544,"destramed",2,"N",1,1,652,523,164,1259226305,375500,83,83,283,83,652,0,2.95,9,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,851917,69892,14609,4,"1"
1,"N",18,"M",9003,19646,"renosed",2,"N",1,1,478,475,197,1259226686,953500,303,303,3,3,478,1,1.95,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,797713,50221,10942,18,"1"
1,"N",18,"M",8962,1272,"lidg",2,"N",1,1,513,678,10,1259226610,640500,262,262,462,62,513,3,1.8,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,519593,18555,970,12,"1"
1,"N",18,"M",9074,12072,"housefloe",2,"N",1,1,591,492,167,1259226802,453500,374,374,74,74,591,0,3.35,9,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,808518,35266,3609,8,"1"
1,"N",18,"M",9182,12976,"voggler",2,"N",1,1,583,651,188,1259226993,515500,482,482,182,82,583,0,2.05,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,652464,32259,5290,22,"1"
1,"N",19,"GC4",9526,20962,"whow",2,"N",1,1,806,501,243,1259247336,140375,826,326,26,26,806,6,1.55,4,NA,NA,NA,NA,0,0,NA,NA,NA,1,0.01,1,0.0196,1,1e-04,449330,8979,780,23,"1"
1,"N",19,"GC4",9454,22352,"slike",2,"N",1,1,505,470,161,1259247210,890375,754,254,454,54,505,6,1.65,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,627307,29124,1115,19,"1"
1,"N",19,"GC4",9298,12248,"hirl",2,"N",1,1,573,524,10,1259246945,734375,598,98,298,98,573,4,1.75,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,537702,10775,657,8,"1"
1,"N",2,"M",1122,6582,"beril",2,"N",1,1,771,664,11,1255528032,827875,422,422,122,22,771,2,1.9,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,621440,34869,2888,2,"1"
1,"N",2,"M",1002,9146,"brited",2,"N",1,1,620,689,192,1255527813,905875,302,302,2,2,620,2,1.9,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,667534,47439,10792,2,"1"
1,"N",21,"GC2",10388,28380,"werm",2,"N",1,1,770,779,10,1259313834,891250,188,188,388,88,770,7,1.65,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,530043,21024,1195,23,"1"
1,"N",22,"GC4",10983,5658,"crills",2,"N",1,1,470,500,158,1259341054,343375,783,283,483,83,470,6,1.65,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,657610,53252,3653,3,"1"
1,"N",22,"GC4",11023,21722,"chirties",2,"N",1,1,543,543,219,1259341130,359375,823,323,23,23,543,1,2.25,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,803319,75461,13311,3,"1"
1,"N",22,"GC4",11094,9160,"flysleil",2,"N",1,1,506,471,164,1259341243,171375,894,394,94,94,506,0,3.8,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,724242,24731,1266,6,"1"
1,"N",22,"GC4",11147,6306,"detreres",2,"N",1,1,549,549,177,1259341334,468375,947,447,147,47,549,0,2.85,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,885730,93973,13586,4,"1"
1,"N",22,"GC4",11080,27346,"jeting",2,"N",1,1,583,518,10,1259341220,952375,880,380,80,80,583,0,1.9,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,648214,53808,20745,10,"1"
1,"N",23,"GC4",11364,4470,"clurler",2,"N",1,1,545,545,10,1259832125,999875,164,164,364,64,545,0,2.4,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,695851,42758,5730,3,"1"
1,"N",23,"GC4",11550,28188,"wimp",1,"W",0,1,NA,667,202,1259832444,46875,350,350,50,50,549,3,1.8,4,NA,NA,NA,NA,0,0,NA,NA,NA,82,0.82,143,2.8039,122,0.0145,476277,9931,1061,23,"1"
1,"N",25,"M",12405,2600,"briy",2,"N",1,1,520,586,170,1259946063,437375,705,205,405,5,520,3,1.8,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,505854,21096,1229,2,"1"
1,"N",25,"M",12479,13492,"larse",2,"N",1,1,587,473,170,1259946180,812375,779,279,479,79,587,3,1.8,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,667861,32886,2638,12,"1"
1,"N",25,"M",12525,23364,"thrats",2,"N",1,1,504,586,11,1259946287,922375,825,325,25,25,504,0,1.9,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,669050,54692,5602,20,"1"
1,"N",25,"M",12576,20478,"rittle",2,"N",1,1,467,513,213,1259946370,234375,876,376,76,76,467,3,1.8,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,11,0.2157,1,1e-04,715841,35562,3428,18,"1"
1,"N",26,"M",13111,6736,"desky",2,"N",1,1,681,620,11,1260353522,624500,411,411,111,11,681,3,1.8,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,565733,34012,2632,4,"1"
1,"N",27,"M",13229,12312,"irtfacts",2,"N",1,1,682,571,10,1264005868,31500,29,29,229,29,682,0,2.95,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,759280,44267,4167,9,"1"
1,"N",27,"M",13628,8758,"filemess",2,"N",1,0,718,625,173,1264006558,453500,428,428,128,28,718,0,2.9,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,807009,68500,6725,6,"1"
1,"N",27,"M",13384,27490,"wawns",2,"N",1,1,602,571,171,1264006135,531500,184,184,384,84,602,7,1.65,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,559918,37811,3547,23,"1"
1,"N",27,"M",13681,22042,"moxpence",2,"N",1,1,520,553,179,1264006645,734500,481,481,181,81,520,0,3.5,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,719513,32901,4335,13,"1"
1,"N",27,"M",13316,27436,"waice",2,"N",1,1,593,562,167,1264006021,515500,116,116,316,16,593,1,1.95,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,609181,23255,2309,23,"1"
1,"N",27,"M",13360,7916,"entei",2,"N",1,1,540,573,11,1264006095,890500,160,160,360,60,540,1,1.95,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,709315,27873,4387,5,"1"
1,"N",29,"M",14439,14178,"leotered",2,"N",1,1,649,653,167,1264671374,468875,239,239,439,39,649,1,2.1,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,855611,66275,12600,12,"1"
1,"N",29,"M",14255,628,"arayed",2,"N",1,1,572,606,11,1264671042,327875,55,55,255,55,572,3,1.75,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,661355,38654,7717,1,"1"
1,"N",3,"GC4",1632,9882,"walloes",2,"N",1,1,895,593,68,1256202936,734750,432,432,132,32,895,2,1.9,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,714944,61081,11134,23,"1"
1,"N",3,"GC4",1550,15868,"tertier",2,"N",1,1,727,752,11,1256202782,15750,350,350,50,50,727,2,1.9,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,818599,65874,10063,20,"1"
1,"N",30,"M",14935,19802,"resongs",2,"N",1,1,622,775,11,1264757182,968375,235,235,435,35,622,0,2.45,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,771949,81053,6444,18,"1"
1,"N",30,"M",14889,17730,"satches",2,"N",1,1,572,591,259,1264757094,812375,189,189,389,89,572,9,1.4,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,744960,71879,11496,19,"1"
1,"N",31,"M",15607,23572,"stawled",2,"N",1,1,665,620,10,1265017335,187250,407,407,107,7,665,3,1.8,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,707813,51079,10612,19,"1"
1,"N",31,"M",15413,19544,"rethan",2,"N",1,1,576,577,172,1265017002,156250,213,213,413,13,576,0,2.55,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,690008,38513,4922,18,"1"
1,"N",32,"GC1",15979,4364,"clothmate",2,"N",1,1,740,498,149,1265133101,375250,279,279,479,79,740,0,3.8,9,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,776443,50147,6370,3,"1"
1,"N",33,"GC4",16255,11254,"handship",2,"N",1,1,682,571,10,1265362131,796875,55,55,255,55,682,1,2.7,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,699555,28801,4579,8,"1"
1,"N",33,"GC4",16484,19218,"rugy",2,"N",1,1,652,491,162,1265362509,218875,284,284,484,84,652,2,1.8,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,478923,15010,634,18,"1"
